Rd,Luang,Dwiwara,Triwara,Caturwara,Pancawara,Sadwara,Saptawara,Asatawara,Sangawara,Dasawara
-214193,f,1,1,1,3,1,1,5,7,3
-61387,t,2,2,1,4,5,4,5,5,2
25469,t,2,2,1,5,5,4,1,5,6
49217,f,1,2,3,3,5,1,3,5,3
171307,f,1,1,3,3,1,4,3,1,5
210155,t,2,2,1,1,5,2,1,8,0
253427,f,1,2,3,3,5,7,3,2,7
369740,f,1,2,2,1,2,1,2,2,1
400085,f,1,2,1,1,5,1,1,8,1
434355,t,2,3,1,1,3,6,1,3,2
452605,f,1,1,1,1,1,7,5,1,5
470160,t,2,3,4,1,6,6,8,6,2
473837,f,1,2,3,3,5,1,3,5,3
507850,f,1,1,4,1,4,1,4,7,1
524156,f,1,2,2,2,2,4,2,5,7
544676,f,1,2,4,2,2,7,8,8,9
567118,t,2,1,4,4,4,7,4,7,4
569477,f,1,2,3,3,5,7,3,2,7
601716,f,1,3,4,2,6,4,8,3,7
613424,t,2,2,4,5,2,1,4,5,4
626596,t,2,1,2,2,4,6,2,1,6
645554,t,2,2,4,5,2,1,4,5,4
664224,f,1,3,4,5,6,2,8,3,3
671401,f,1,1,1,2,1,4,5,4,7
694799,t,2,2,1,5,5,1,5,8,4
704424,t,2,3,2,5,6,1,2,3,4
708842,t,2,2,2,3,2,2,2,1,2
709409,f,1,2,3,5,5,2,3,2,3
709580,t,2,2,4,1,2,5,4,8,4
727274,t,2,2,2,5,2,3,2,8,2
728714,t,2,2,4,5,2,1,4,5,4
744313,t,2,1,3,4,1,4,7,1,2
764652,f,1,3,4,3,6,1,8,6,3
