Rd,Year,Month,Leap,Day
-214193,2515,6,f,11
-61387,2933,9,f,26
25469,3171,8,f,3
49217,3236,8,f,9
171307,3570,11,t,19
210155,3677,3,f,5
253427,3795,9,f,15
369740,4114,2,f,7
400085,4197,2,f,24
434355,4291,1,f,9
452605,4340,12,f,9
470160,4389,1,f,23
473837,4399,2,f,8
507850,4492,4,f,2
524156,4536,11,f,7
544676,4593,1,f,3
567118,4654,7,f,2
569477,4660,11,f,29
601716,4749,3,f,20
613424,4781,4,f,4
626596,4817,5,f,6
645554,4869,4,f,5
664224,4920,5,f,12
671401,4940,1,t,13
694799,5004,1,f,23
704424,5030,5,f,21
708842,5042,7,f,9
709409,5044,1,f,15
709580,5044,7,f,9
727274,5092,12,f,14
728714,5096,12,f,7
744313,5139,8,f,14
764652,5195,4,f,6
